"BasePeriodID","StockID","Age","TimeStep","MaturationRate","RunTime"
3,1,2,1,0.00,1/11/2023 20:49:38
3,1,2,2,0.00,1/11/2023 20:49:38
3,1,2,3,0.02,1/11/2023 20:49:38
3,1,2,4,0.00,1/11/2023 20:49:38
3,1,3,1,0.00,1/11/2023 20:49:38
3,1,3,2,0.00,1/11/2023 20:49:38
3,1,3,3,0.52,1/11/2023 20:49:38
3,1,3,4,0.00,1/11/2023 20:49:38
3,1,4,1,0.00,1/11/2023 20:49:38
3,1,4,2,0.00,1/11/2023 20:49:38
3,1,4,3,0.99,1/11/2023 20:49:38
3,1,4,4,0.00,1/11/2023 20:49:38
3,1,5,1,0.00,1/11/2023 20:49:38
3,1,5,2,0.00,1/11/2023 20:49:38
3,1,5,3,1.00,1/11/2023 20:49:38
3,1,5,4,0.00,1/11/2023 20:49:38
3,2,2,1,0.00,1/11/2023 20:49:38
3,2,2,2,0.00,1/11/2023 20:49:38
3,2,2,3,0.01,1/11/2023 20:49:38
3,2,2,4,0.00,1/11/2023 20:49:38
3,2,3,1,0.00,1/11/2023 20:49:38
3,2,3,2,6.848e-03,1/11/2023 20:49:38
3,2,3,3,0.33,1/11/2023 20:49:38
3,2,3,4,0.00,1/11/2023 20:49:38
3,2,4,1,0.00,1/11/2023 20:49:38
3,2,4,2,0.02,1/11/2023 20:49:38
3,2,4,3,0.95,1/11/2023 20:49:38
3,2,4,4,0.00,1/11/2023 20:49:38
3,2,5,1,0.00,1/11/2023 20:49:38
3,2,5,2,0.12,1/11/2023 20:49:38
3,2,5,3,1.00,1/11/2023 20:49:38
3,2,5,4,0.00,1/11/2023 20:49:38
3,3,2,1,0.00,1/11/2023 20:49:38
3,3,2,2,0.00,1/11/2023 20:49:38
3,3,2,3,0.01,1/11/2023 20:49:38
3,3,2,4,0.00,1/11/2023 20:49:38
3,3,3,1,0.00,1/11/2023 20:49:38
3,3,3,2,6.848e-03,1/11/2023 20:49:38
3,3,3,3,0.33,1/11/2023 20:49:38
3,3,3,4,0.00,1/11/2023 20:49:38
3,3,4,1,0.00,1/11/2023 20:49:38
3,3,4,2,0.02,1/11/2023 20:49:38
3,3,4,3,0.95,1/11/2023 20:49:38
3,3,4,4,0.00,1/11/2023 20:49:38
3,3,5,1,0.00,1/11/2023 20:49:38
3,3,5,2,0.12,1/11/2023 20:49:38
3,3,5,3,1.00,1/11/2023 20:49:38
3,3,5,4,0.00,1/11/2023 20:49:38
3,4,2,1,0.00,1/11/2023 20:49:38
3,4,2,2,0.00,1/11/2023 20:49:38
3,4,2,3,0.03,1/11/2023 20:49:38
3,4,2,4,0.00,1/11/2023 20:49:38
3,4,3,1,0.00,1/11/2023 20:49:38
3,4,3,2,4.35e-04,1/11/2023 20:49:38
3,4,3,3,0.24,1/11/2023 20:49:38
3,4,3,4,0.00,1/11/2023 20:49:38
3,4,4,1,0.00,1/11/2023 20:49:38
3,4,4,2,5.07e-04,1/11/2023 20:49:38
3,4,4,3,0.74,1/11/2023 20:49:38
3,4,4,4,0.00,1/11/2023 20:49:38
3,4,5,1,0.00,1/11/2023 20:49:38
3,4,5,2,0.00,1/11/2023 20:49:38
3,4,5,3,1.00,1/11/2023 20:49:38
3,4,5,4,0.00,1/11/2023 20:49:38
3,5,2,1,0.00,1/11/2023 20:49:38
3,5,2,2,0.00,1/11/2023 20:49:38
3,5,2,3,0.03,1/11/2023 20:49:38
3,5,2,4,0.00,1/11/2023 20:49:38
3,5,3,1,0.00,1/11/2023 20:49:38
3,5,3,2,4.34e-04,1/11/2023 20:49:38
3,5,3,3,0.24,1/11/2023 20:49:38
3,5,3,4,0.00,1/11/2023 20:49:38
3,5,4,1,0.00,1/11/2023 20:49:38
3,5,4,2,5.07e-04,1/11/2023 20:49:38
3,5,4,3,0.74,1/11/2023 20:49:38
3,5,4,4,0.00,1/11/2023 20:49:38
3,5,5,1,0.00,1/11/2023 20:49:38
3,5,5,2,0.00,1/11/2023 20:49:38
3,5,5,3,1.00,1/11/2023 20:49:38
3,5,5,4,0.00,1/11/2023 20:49:38
3,6,2,1,0.00,1/11/2023 20:49:38
3,6,2,2,1.168e-03,1/11/2023 20:49:38
3,6,2,3,6.931e-03,1/11/2023 20:49:38
3,6,2,4,0.00,1/11/2023 20:49:38
3,6,3,1,0.00,1/11/2023 20:49:38
3,6,3,2,0.05,1/11/2023 20:49:38
3,6,3,3,0.06,1/11/2023 20:49:38
3,6,3,4,0.00,1/11/2023 20:49:38
3,6,4,1,0.00,1/11/2023 20:49:38
3,6,4,2,0.35,1/11/2023 20:49:38
3,6,4,3,0.67,1/11/2023 20:49:38
3,6,4,4,0.00,1/11/2023 20:49:38
3,6,5,1,0.00,1/11/2023 20:49:38
3,6,5,2,0.33,1/11/2023 20:49:38
3,6,5,3,1.00,1/11/2023 20:49:38
3,6,5,4,0.00,1/11/2023 20:49:38
3,7,2,1,0.00,1/11/2023 20:49:38
3,7,2,2,0.00,1/11/2023 20:49:38
3,7,2,3,0.01,1/11/2023 20:49:38
3,7,2,4,0.00,1/11/2023 20:49:38
3,7,3,1,0.00,1/11/2023 20:49:38
3,7,3,2,0.00,1/11/2023 20:49:38
3,7,3,3,0.14,1/11/2023 20:49:38
3,7,3,4,0.00,1/11/2023 20:49:38
3,7,4,1,0.00,1/11/2023 20:49:38
3,7,4,2,0.00,1/11/2023 20:49:38
3,7,4,3,0.88,1/11/2023 20:49:38
3,7,4,4,0.00,1/11/2023 20:49:38
3,7,5,1,0.00,1/11/2023 20:49:38
3,7,5,2,0.00,1/11/2023 20:49:38
3,7,5,3,1.00,1/11/2023 20:49:38
3,7,5,4,0.00,1/11/2023 20:49:38
3,8,2,1,0.00,1/11/2023 20:49:38
3,8,2,2,0.00,1/11/2023 20:49:38
3,8,2,3,0.02,1/11/2023 20:49:38
3,8,2,4,0.00,1/11/2023 20:49:38
3,8,3,1,0.00,1/11/2023 20:49:38
3,8,3,2,0.00,1/11/2023 20:49:38
3,8,3,3,0.13,1/11/2023 20:49:38
3,8,3,4,0.00,1/11/2023 20:49:38
3,8,4,1,0.00,1/11/2023 20:49:38
3,8,4,2,0.00,1/11/2023 20:49:38
3,8,4,3,0.80,1/11/2023 20:49:38
3,8,4,4,0.00,1/11/2023 20:49:38
3,8,5,1,0.00,1/11/2023 20:49:38
3,8,5,2,0.00,1/11/2023 20:49:38
3,8,5,3,1.00,1/11/2023 20:49:38
3,8,5,4,0.00,1/11/2023 20:49:38
3,9,2,1,0.00,1/11/2023 20:49:38
3,9,2,2,0.00,1/11/2023 20:49:38
3,9,2,3,0.02,1/11/2023 20:49:38
3,9,2,4,0.00,1/11/2023 20:49:38
3,9,3,1,0.00,1/11/2023 20:49:38
3,9,3,2,4.8e-05,1/11/2023 20:49:38
3,9,3,3,0.25,1/11/2023 20:49:38
3,9,3,4,0.00,1/11/2023 20:49:38
3,9,4,1,0.00,1/11/2023 20:49:38
3,9,4,2,0.00,1/11/2023 20:49:38
3,9,4,3,0.96,1/11/2023 20:49:38
3,9,4,4,0.00,1/11/2023 20:49:38
3,9,5,1,0.00,1/11/2023 20:49:38
3,9,5,2,0.00,1/11/2023 20:49:38
3,9,5,3,1.00,1/11/2023 20:49:38
3,9,5,4,0.00,1/11/2023 20:49:38
3,10,2,1,0.00,1/11/2023 20:49:38
3,10,2,2,0.00,1/11/2023 20:49:38
3,10,2,3,0.01,1/11/2023 20:49:38
3,10,2,4,0.00,1/11/2023 20:49:38
3,10,3,1,0.00,1/11/2023 20:49:38
3,10,3,2,0.00,1/11/2023 20:49:38
3,10,3,3,0.25,1/11/2023 20:49:38
3,10,3,4,0.00,1/11/2023 20:49:38
3,10,4,1,0.00,1/11/2023 20:49:38
3,10,4,2,0.00,1/11/2023 20:49:38
3,10,4,3,0.96,1/11/2023 20:49:38
3,10,4,4,0.00,1/11/2023 20:49:38
3,10,5,1,0.00,1/11/2023 20:49:38
3,10,5,2,0.00,1/11/2023 20:49:38
3,10,5,3,1.00,1/11/2023 20:49:38
3,10,5,4,0.00,1/11/2023 20:49:38
3,11,2,1,0.00,1/11/2023 20:49:38
3,11,2,2,0.00,1/11/2023 20:49:38
3,11,2,3,0.03,1/11/2023 20:49:38
3,11,2,4,0.00,1/11/2023 20:49:38
3,11,3,1,0.00,1/11/2023 20:49:38
3,11,3,2,0.00,1/11/2023 20:49:38
3,11,3,3,0.37,1/11/2023 20:49:38
3,11,3,4,0.00,1/11/2023 20:49:38
3,11,4,1,0.00,1/11/2023 20:49:38
3,11,4,2,0.00,1/11/2023 20:49:38
3,11,4,3,0.96,1/11/2023 20:49:38
3,11,4,4,0.00,1/11/2023 20:49:38
3,11,5,1,0.00,1/11/2023 20:49:38
3,11,5,2,0.00,1/11/2023 20:49:38
3,11,5,3,1.00,1/11/2023 20:49:38
3,11,5,4,0.00,1/11/2023 20:49:38
3,12,2,1,0.00,1/11/2023 20:49:38
3,12,2,2,0.00,1/11/2023 20:49:38
3,12,2,3,0.08,1/11/2023 20:49:38
3,12,2,4,0.00,1/11/2023 20:49:38
3,12,3,1,0.00,1/11/2023 20:49:38
3,12,3,2,0.00,1/11/2023 20:49:38
3,12,3,3,0.12,1/11/2023 20:49:38
3,12,3,4,0.00,1/11/2023 20:49:38
3,12,4,1,0.00,1/11/2023 20:49:38
3,12,4,2,0.00,1/11/2023 20:49:38
3,12,4,3,0.81,1/11/2023 20:49:38
3,12,4,4,0.00,1/11/2023 20:49:38
3,12,5,1,0.00,1/11/2023 20:49:38
3,12,5,2,0.00,1/11/2023 20:49:38
3,12,5,3,1.00,1/11/2023 20:49:38
3,12,5,4,0.00,1/11/2023 20:49:38
3,13,2,1,0.00,1/11/2023 20:49:38
3,13,2,2,0.00,1/11/2023 20:49:38
3,13,2,3,0.09,1/11/2023 20:49:38
3,13,2,4,0.00,1/11/2023 20:49:38
3,13,3,1,0.00,1/11/2023 20:49:38
3,13,3,2,0.00,1/11/2023 20:49:38
3,13,3,3,0.46,1/11/2023 20:49:38
3,13,3,4,0.00,1/11/2023 20:49:38
3,13,4,1,0.00,1/11/2023 20:49:38
3,13,4,2,0.00,1/11/2023 20:49:38
3,13,4,3,0.97,1/11/2023 20:49:38
3,13,4,4,0.00,1/11/2023 20:49:38
3,13,5,1,0.00,1/11/2023 20:49:38
3,13,5,2,0.00,1/11/2023 20:49:38
3,13,5,3,1.00,1/11/2023 20:49:38
3,13,5,4,0.00,1/11/2023 20:49:38
3,14,2,1,0.00,1/11/2023 20:49:38
3,14,2,2,0.00,1/11/2023 20:49:38
3,14,2,3,0.07,1/11/2023 20:49:38
3,14,2,4,0.00,1/11/2023 20:49:38
3,14,3,1,0.00,1/11/2023 20:49:38
3,14,3,2,0.00,1/11/2023 20:49:38
3,14,3,3,0.11,1/11/2023 20:49:38
3,14,3,4,0.00,1/11/2023 20:49:38
3,14,4,1,0.00,1/11/2023 20:49:38
3,14,4,2,0.00,1/11/2023 20:49:38
3,14,4,3,0.84,1/11/2023 20:49:38
3,14,4,4,0.00,1/11/2023 20:49:38
3,14,5,1,0.00,1/11/2023 20:49:38
3,14,5,2,0.00,1/11/2023 20:49:38
3,14,5,3,1.00,1/11/2023 20:49:38
3,14,5,4,0.00,1/11/2023 20:49:38
3,15,2,1,0.00,1/11/2023 20:49:38
3,15,2,2,4.02e-03,1/11/2023 20:49:38
3,15,2,3,0.06,1/11/2023 20:49:38
3,15,2,4,0.00,1/11/2023 20:49:38
3,15,3,1,0.00,1/11/2023 20:49:38
3,15,3,2,0.05,1/11/2023 20:49:38
3,15,3,3,0.25,1/11/2023 20:49:38
3,15,3,4,0.00,1/11/2023 20:49:38
3,15,4,1,0.00,1/11/2023 20:49:38
3,15,4,2,0.21,1/11/2023 20:49:38
3,15,4,3,0.88,1/11/2023 20:49:38
3,15,4,4,0.00,1/11/2023 20:49:38
3,15,5,1,0.00,1/11/2023 20:49:38
3,15,5,2,0.19,1/11/2023 20:49:38
3,15,5,3,1.00,1/11/2023 20:49:38
3,15,5,4,0.00,1/11/2023 20:49:38
3,16,2,1,0.00,1/11/2023 20:49:38
3,16,2,2,0.00,1/11/2023 20:49:38
3,16,2,3,0.06,1/11/2023 20:49:38
3,16,2,4,0.00,1/11/2023 20:49:38
3,16,3,1,0.00,1/11/2023 20:49:38
3,16,3,2,0.00,1/11/2023 20:49:38
3,16,3,3,0.45,1/11/2023 20:49:38
3,16,3,4,0.00,1/11/2023 20:49:38
3,16,4,1,0.00,1/11/2023 20:49:38
3,16,4,2,0.00,1/11/2023 20:49:38
3,16,4,3,0.95,1/11/2023 20:49:38
3,16,4,4,0.00,1/11/2023 20:49:38
3,16,5,1,0.00,1/11/2023 20:49:38
3,16,5,2,0.00,1/11/2023 20:49:38
3,16,5,3,1.00,1/11/2023 20:49:38
3,16,5,4,0.00,1/11/2023 20:49:38
3,17,2,1,0.00,1/11/2023 20:49:38
3,17,2,2,0.00,1/11/2023 20:49:38
3,17,2,3,0.33,1/11/2023 20:49:38
3,17,2,4,0.00,1/11/2023 20:49:38
3,17,3,1,0.00,1/11/2023 20:49:38
3,17,3,2,0.00,1/11/2023 20:49:38
3,17,3,3,0.30,1/11/2023 20:49:38
3,17,3,4,0.00,1/11/2023 20:49:38
3,17,4,1,0.00,1/11/2023 20:49:38
3,17,4,2,0.00,1/11/2023 20:49:38
3,17,4,3,0.94,1/11/2023 20:49:38
3,17,4,4,0.00,1/11/2023 20:49:38
3,17,5,1,0.00,1/11/2023 20:49:38
3,17,5,2,0.00,1/11/2023 20:49:38
3,17,5,3,1.00,1/11/2023 20:49:38
3,17,5,4,0.00,1/11/2023 20:49:38
3,18,2,1,0.00,1/11/2023 20:49:38
3,18,2,2,0.00,1/11/2023 20:49:38
3,18,2,3,0.02,1/11/2023 20:49:38
3,18,2,4,0.00,1/11/2023 20:49:38
3,18,3,1,0.00,1/11/2023 20:49:38
3,18,3,2,0.00,1/11/2023 20:49:38
3,18,3,3,0.26,1/11/2023 20:49:38
3,18,3,4,0.00,1/11/2023 20:49:38
3,18,4,1,0.00,1/11/2023 20:49:38
3,18,4,2,0.00,1/11/2023 20:49:38
3,18,4,3,0.96,1/11/2023 20:49:38
3,18,4,4,0.00,1/11/2023 20:49:38
3,18,5,1,0.00,1/11/2023 20:49:38
3,18,5,2,0.00,1/11/2023 20:49:38
3,18,5,3,1.00,1/11/2023 20:49:38
3,18,5,4,0.00,1/11/2023 20:49:38
3,19,2,1,0.00,1/11/2023 20:49:38
3,19,2,2,0.00,1/11/2023 20:49:38
3,19,2,3,0.03,1/11/2023 20:49:38
3,19,2,4,0.00,1/11/2023 20:49:38
3,19,3,1,0.00,1/11/2023 20:49:38
3,19,3,2,0.00,1/11/2023 20:49:38
3,19,3,3,0.70,1/11/2023 20:49:38
3,19,3,4,0.00,1/11/2023 20:49:38
3,19,4,1,0.00,1/11/2023 20:49:38
3,19,4,2,0.00,1/11/2023 20:49:38
3,19,4,3,0.98,1/11/2023 20:49:38
3,19,4,4,0.00,1/11/2023 20:49:38
3,19,5,1,0.00,1/11/2023 20:49:38
3,19,5,2,0.00,1/11/2023 20:49:38
3,19,5,3,1.00,1/11/2023 20:49:38
3,19,5,4,0.00,1/11/2023 20:49:38
3,20,2,1,0.00,1/11/2023 20:49:38
3,20,2,2,0.00,1/11/2023 20:49:38
3,20,2,3,0.04,1/11/2023 20:49:38
3,20,2,4,0.00,1/11/2023 20:49:38
3,20,3,1,0.00,1/11/2023 20:49:38
3,20,3,2,0.00,1/11/2023 20:49:38
3,20,3,3,0.25,1/11/2023 20:49:38
3,20,3,4,0.00,1/11/2023 20:49:38
