"StockID","Age","FisheryID","TimeStep","ExploitationRate","Source"
1,3,68,3,2.0e-07,"Old BP"
5,4,68,1,6.0e-08,"Old BP"
5,5,68,3,8.5e-07,"Old BP"
8,4,68,1,2.1e-07,"Old BP"
11,3,68,1,1.0e-08,"Old BP"
11,4,68,3,6.0e-08,"Old BP"
12,3,68,1,4.0e-08,"Old BP"
12,4,68,1,6.0e-08,"Old BP"
13,3,68,1,1.2e-07,"Old BP"
13,4,68,1,1.08e-06,"Old BP"
13,2,68,3,1.385e-05,"Old BP"
13,3,68,3,2.183e-05,"Old BP"
13,4,68,3,2.687e-05,"Old BP"
13,5,68,3,4.094e-05,"Old BP"
14,4,68,1,1.15e-06,"Old BP"
14,5,68,3,7.28e-06,"Old BP"
14,3,68,3,1.706e-05,"Old BP"
14,4,68,3,4.136e-05,"Old BP"
16,4,68,3,8.3e-07,"Old BP"
16,3,68,3,1.95e-06,"Old BP"
22,4,68,3,9.0e-08,"Old BP"
23,5,68,3,9.4e-07,"Old BP"
1,3,69,3,9.472e-04,"Old BP"
5,4,69,1,2.7279e-04,"Old BP"
5,5,69,3,3.96231e-03,"Old BP"
8,4,69,1,9.955e-04,"Old BP"
11,3,69,1,6.783e-05,"Old BP"
11,4,69,3,2.5488e-04,"Old BP"
12,3,69,1,1.9438e-04,"Old BP"
12,4,69,1,3.0208e-04,"Old BP"
13,3,69,1,5.6556e-04,"Old BP"
13,4,69,1,5.00291e-03,"Old BP"
13,2,69,3,0.06,"Old BP"
13,3,69,3,0.10,"Old BP"
13,4,69,3,0.12,"Old BP"
13,5,69,3,0.19,"Old BP"
14,4,69,1,5.3622e-03,"Old BP"
14,5,69,3,0.03,"Old BP"
14,3,69,3,0.07,"Old BP"
14,4,69,3,0.19,"Old BP"
16,4,69,3,3.90327e-03,"Old BP"
16,3,69,3,9.00447e-03,"Old BP"
22,4,69,3,4.2947e-04,"Old BP"
23,5,69,3,4.36021e-03,"Old BP"
1,2,4,3,3.37005e-03,"Old BP"
1,2,5,2,1.7193e-04,"Old BP"
1,2,5,3,0.28,"Old BP"
1,2,6,3,1.73473e-03,"Old BP"
1,4,4,3,3.39116e-03,"Old BP"
1,4,5,1,6.658e-05,"Old BP"
1,4,5,3,5.06358e-03,"Old BP"
1,4,6,1,1.05925e-03,"Old BP"
1,4,6,3,7.32864e-03,"Old BP"
1,5,49,3,4.4088e-04,"Old BP"
1,3,4,3,6.23975e-03,"Old BP"
1,3,5,1,8.948e-05,"Old BP"
1,3,5,2,3.96889e-03,"Old BP"
1,3,5,3,0.04,"Old BP"
1,3,6,3,6.37568e-03,"Old BP"
1,3,48,3,1.9e-08,"Old BP"
1,4,48,3,9.0e-09,"Old BP"
1,4,49,3,1.10425e-03,"Old BP"
1,5,6,3,3.86798e-03,"Old BP"
2,4,5,3,3.47038e-03,"Old BP"
2,4,6,1,0.01,"Old BP"
2,4,6,3,1.57452e-03,"Old BP"
2,2,4,3,2.44631e-03,"Old BP"
2,2,6,3,2.28042e-03,"Old BP"
2,3,4,3,6.65102e-03,"Old BP"
2,3,5,1,1.20762e-03,"Old BP"
2,3,6,1,1.34062e-03,"Old BP"
2,3,6,3,7.57332e-03,"Old BP"
2,5,6,1,4.0678e-03,"Old BP"
3,2,4,3,2.44631e-03,"Old BP"
3,2,6,3,2.28042e-03,"Old BP"
3,3,4,3,6.65102e-03,"Old BP"
3,3,5,1,1.20762e-03,"Old BP"
3,3,6,1,1.34062e-03,"Old BP"
3,3,6,3,7.57332e-03,"Old BP"
3,4,5,3,3.47038e-03,"Old BP"
3,4,6,1,0.01,"Old BP"
3,4,6,3,1.57452e-03,"Old BP"
3,5,6,1,4.0678e-03,"Old BP"
4,2,4,3,0.01,"Old BP"
4,2,5,2,6.6024e-04,"Old BP"
4,2,5,3,0.05,"Old BP"
4,2,6,3,6.28078e-03,"Old BP"
4,3,4,2,9.3152e-04,"Old BP"
4,3,4,3,0.06,"Old BP"
4,3,5,2,0.01,"Old BP"
4,3,5,3,0.10,"Old BP"
4,3,6,1,2.6323e-03,"Old BP"
4,3,6,2,2.318e-04,"Old BP"
4,3,6,3,0.01,"Old BP"
4,4,49,3,1.77908e-03,"Old BP"
4,5,5,3,0.02,"Old BP"
4,5,6,3,0.04,"Old BP"
4,4,4,3,1.26198e-03,"Old BP"
4,4,5,3,2.47928e-03,"Old BP"
4,4,6,1,4.96685e-03,"Old BP"
4,4,6,2,5.3305e-04,"Old BP"
4,4,6,3,3.3342e-03,"Old BP"
5,2,4,3,4.4289e-04,"Old BP"
5,2,6,3,6.5257e-04,"Old BP"
5,3,4,2,1.00545e-03,"Old BP"
5,4,4,3,8.11792e-03,"Old BP"
5,4,5,2,6.0089e-03,"Old BP"
5,4,5,3,0.02,"Old BP"
5,4,6,2,6.5399e-04,"Old BP"
5,4,6,3,6.31802e-03,"Old BP"
5,3,4,3,0.04,"Old BP"
5,3,5,2,7.49319e-03,"Old BP"
5,3,5,3,0.41,"Old BP"
5,3,6,3,0.02,"Old BP"
5,4,49,3,2.50646e-03,"Old BP"
5,5,6,3,0.01,"Old BP"
6,2,6,3,7.9515e-04,"Old BP"
6,2,49,3,0.03,"Old BP"
6,3,4,3,0.04,"Old BP"
6,3,5,2,4.2085e-04,"Old BP"
6,3,5,3,0.11,"Old BP"
6,3,6,3,0.04,"Old BP"
6,3,48,3,2.767e-06,"Old BP"
6,3,49,3,0.01,"Old BP"
6,4,4,3,2.58762e-03,"Old BP"
6,4,5,1,4.1743e-04,"Old BP"
6,4,5,3,0.01,"Old BP"
6,4,6,1,6.47011e-03,"Old BP"
6,4,6,3,0.02,"Old BP"
7,2,4,3,0.01,"Old BP"
7,2,5,3,0.01,"Old BP"
7,2,6,3,6.86431e-03,"Old BP"
7,2,49,3,0.01,"Old BP"
7,3,4,3,0.02,"Old BP"
7,3,5,1,1.57753e-03,"Old BP"
7,3,5,3,0.02,"Old BP"
7,3,6,1,1.80559e-03,"Old BP"
7,3,6,3,0.01,"Old BP"
7,3,48,3,4.706e-06,"Old BP"
7,3,49,3,0.01,"Old BP"
7,4,6,1,3.30363e-03,"Old BP"
7,4,48,3,5.885e-06,"Old BP"
7,4,49,3,0.03,"Old BP"
8,3,4,2,1.48599e-03,"Old BP"
8,3,4,3,0.02,"Old BP"
8,3,5,2,0.01,"Old BP"
8,3,5,3,0.53,"Old BP"
8,3,6,1,5.7893e-04,"Old BP"
8,3,6,3,0.01,"Old BP"
8,4,48,3,1.65e-07,"Old BP"
8,4,49,3,0.02,"Old BP"
8,3,49,3,0.02,"Old BP"
8,4,4,2,9.5484e-04,"Old BP"
8,4,4,3,7.71766e-03,"Old BP"
8,4,5,2,4.01941e-03,"Old BP"
8,4,5,3,4.71469e-03,"Old BP"
8,4,6,3,0.01,"Old BP"
8,5,4,3,0.02,"Old BP"
8,5,5,3,0.06,"Old BP"
8,5,48,3,1.874e-06,"Old BP"
8,5,49,3,0.01,"Old BP"
9,2,4,3,0.01,"Old BP"
9,2,5,3,0.01,"Old BP"
9,2,6,3,7.04393e-03,"Old BP"
9,2,48,3,3.717e-06,"Old BP"
9,2,49,3,0.01,"Old BP"
9,3,4,3,0.02,"Old BP"
9,3,5,1,1.62286e-03,"Old BP"
9,3,5,3,0.03,"Old BP"
9,3,6,1,1.85748e-03,"Old BP"
9,3,6,3,0.01,"Old BP"
9,3,48,3,1.826e-06,"Old BP"
9,3,49,3,1.29451e-03,"Old BP"
9,4,6,1,3.35009e-03,"Old BP"
10,2,48,3,1.185675e-03,"Old BP"
10,2,49,3,0.01,"Old BP"
10,3,4,3,1.75848e-03,"Old BP"
10,3,6,3,4.30764e-03,"Old BP"
10,4,48,3,8.73313e-04,"Old BP"
10,4,49,3,0.04,"Old BP"
10,2,4,3,4.04751e-03,"Old BP"
10,2,6,3,1.39549e-03,"Old BP"
10,3,48,3,9.03847e-04,"Old BP"
10,3,49,3,0.01,"Old BP"
10,4,6,1,3.50106e-03,"Old BP"
10,4,6,3,3.57084e-03,"Old BP"
10,5,48,3,1.264791e-03,"Old BP"
11,2,4,3,1.56764e-03,"Old BP"
11,2,5,2,9.6675e-04,"Old BP"
11,2,5,3,0.10,"Old BP"
11,2,6,3,1.43906e-03,"Old BP"
11,2,48,3,5.23e-07,"Old BP"
11,3,4,3,4.05442e-03,"Old BP"
11,3,5,1,9.607e-05,"Old BP"
11,3,5,2,5.84943e-03,"Old BP"
11,3,5,3,0.07,"Old BP"
11,3,6,2,2.0257e-04,"Old BP"
11,3,6,3,4.2902e-03,"Old BP"
11,3,48,3,1.27e-07,"Old BP"
11,3,49,3,3.79073e-03,"Old BP"
11,4,4,2,2.57e-04,"Old BP"
11,4,5,1,8.4066e-04,"Old BP"
11,4,5,2,7.808e-04,"Old BP"
11,4,6,3,2.42871e-03,"Old BP"
11,5,6,1,2.53779e-03,"Old BP"
11,5,48,3,4.25e-07,"Old BP"
11,5,49,3,5.56421e-03,"Old BP"
11,4,48,3,5.6e-08,"Old BP"
11,4,49,3,3.56253e-03,"Old BP"
12,2,49,3,1.36537e-03,"Old BP"
12,2,5,2,1.55593e-03,"Old BP"
12,2,5,3,0.01,"Old BP"
12,2,6,2,5.658e-05,"Old BP"
12,2,6,3,5.7743e-04,"Old BP"
12,3,4,3,2.4509e-04,"Old BP"
12,3,5,1,1.3433e-04,"Old BP"
12,3,5,2,4.96363e-03,"Old BP"
12,3,5,3,0.01,"Old BP"
12,3,6,3,2.86752e-03,"Old BP"
12,4,49,3,8.2995e-04,"Old BP"
12,3,49,3,2.57091e-03,"Old BP"
12,4,5,3,0.03,"Old BP"
13,3,4,3,2.44402e-03,"Old BP"
13,3,6,3,3.59478e-03,"Old BP"
13,3,49,3,0.02,"Old BP"
13,4,49,3,2.39129e-03,"Old BP"
14,3,5,2,0.01,"Old BP"
14,3,5,3,0.05,"Old BP"
14,3,48,3,1.023e-06,"Old BP"
14,4,49,3,0.02,"Old BP"
14,5,6,3,0.17,"Old BP"
15,2,4,3,1.4302e-03,"Old BP"
15,2,6,3,6.00646e-03,"Old BP"
16,2,4,3,5.4401e-04,"Old BP"
16,2,5,2,1.03228e-03,"Old BP"
16,2,6,3,4.0534e-04,"Old BP"
16,3,4,3,4.91272e-03,"Old BP"
16,3,5,2,0.01,"Old BP"
16,3,5,3,0.02,"Old BP"
16,4,48,3,2.08e-07,"Old BP"
16,4,49,3,1.94691e-03,"Old BP"
18,2,4,3,0.02,"Old BP"
18,2,6,3,7.5904e-04,"Old BP"
18,3,4,3,0.01,"Old BP"
18,3,5,1,1.22202e-03,"Old BP"
18,3,5,2,9.4367e-04,"Old BP"
18,3,5,3,0.02,"Old BP"
18,3,6,1,2.1504e-03,"Old BP"
18,3,6,2,3.4828e-04,"Old BP"
18,3,6,3,2.34782e-03,"Old BP"
18,4,4,3,6.37753e-03,"Old BP"
18,4,5,1,2.21867e-03,"Old BP"
18,4,6,3,3.24175e-03,"Old BP"
19,3,5,2,9.21543e-03,"Old BP"
19,3,5,3,0.01,"Old BP"
19,3,6,2,5.673e-04,"Old BP"
19,2,4,3,1.53143e-03,"Old BP"
19,2,5,3,0.10,"Old BP"
19,2,6,3,1.42124e-03,"Old BP"
20,2,4,3,9.0364e-04,"Old BP"
20,3,4,3,9.37247e-03,"Old BP"
20,3,6,3,9.1626e-04,"Old BP"
20,5,6,3,0.04,"Old BP"
20,4,4,3,6.26109e-03,"Old BP"
20,4,6,3,7.04528e-03,"Old BP"
21,2,4,3,4.23593e-03,"Old BP"
21,2,6,3,1.16488e-03,"Old BP"
21,4,4,3,5.82916e-03,"Old BP"
21,3,4,3,2.65831e-03,"Old BP"
22,2,4,3,3.2773e-04,"Old BP"
22,2,5,2,3.37184e-03,"Old BP"
22,3,4,3,1.76448e-03,"Old BP"
22,3,5,2,1.41469e-03,"Old BP"
22,3,5,3,5.42064e-03,"Old BP"
22,3,6,3,8.1752e-04,"Old BP"
22,2,5,3,0.10,"Old BP"
22,2,6,3,1.4136e-04,"Old BP"
23,3,4,2,6.5341e-04,"Old BP"
23,3,4,3,2.36065e-03,"Old BP"
23,3,5,2,1.43257e-03,"Old BP"
23,4,4,3,5.78596e-03,"Old BP"
23,5,5,2,0.01,"Old BP"
23,5,6,3,0.02,"Old BP"
24,2,4,3,8.90332e-03,"Old BP"
24,2,5,3,0.01,"Old BP"
24,2,6,3,5.6223e-04,"Old BP"
24,3,4,3,0.01,"Old BP"
24,3,6,3,1.1534e-03,"Old BP"
24,4,4,2,8.1249e-04,"Old BP"
24,4,4,3,0.02,"Old BP"
24,4,6,3,4.67277e-03,"Old BP"
24,5,4,3,2.25328e-03,"Old BP"
24,5,6,3,4.562e-04,"Old BP"
25,2,4,3,4.1009e-04,"Old BP"
25,3,4,3,2.54646e-03,"Old BP"
25,3,5,2,3.0309e-04,"Old BP"
25,3,6,3,1.69302e-03,"Old BP"
25,4,4,3,9.19843e-03,"Old BP"
26,3,4,3,7.4325e-03,"Old BP"
26,3,6,3,6.7429e-04,"Old BP"
26,4,4,2,1.818e-04,"Old BP"
26,4,4,3,7.0817e-03,"Old BP"
26,2,4,3,1.20054e-03,"Old BP"
26,2,6,3,3.4055e-04,"Old BP"
27,3,4,3,9.36232e-03,"Old BP"
27,3,6,3,1.41543e-03,"Old BP"
27,2,4,3,0.01,"Old BP"
27,2,6,3,2.63716e-03,"Old BP"
27,4,4,3,2.48442e-03,"Old BP"
28,2,4,3,2.86844e-03,"Old BP"
28,2,6,3,3.3054e-04,"Old BP"
28,3,4,3,3.2559e-04,"Old BP"
28,4,4,3,6.8467e-03,"Old BP"
28,5,4,3,0.02,"Old BP"
29,2,4,3,2.6522e-03,"Old BP"
29,2,5,2,3.909e-04,"Old BP"
29,2,5,3,0.01,"Old BP"
29,2,6,3,8.4152e-04,"Old BP"
29,3,4,2,1.3392e-03,"Old BP"
29,3,4,3,0.01,"Old BP"
29,3,5,2,2.2508e-04,"Old BP"
29,3,5,3,0.05,"Old BP"
29,3,6,3,2.23929e-03,"Old BP"
29,4,4,3,0.02,"Old BP"
29,4,5,3,0.12,"Old BP"
29,4,6,3,6.1927e-03,"Old BP"
29,5,4,3,0.04,"Old BP"
29,5,5,3,0.20,"Old BP"
29,5,6,3,0.02,"Old BP"
30,2,4,3,4.95765e-03,"Old BP"
30,2,5,2,3.0605e-04,"Old BP"
30,2,5,3,0.07,"Old BP"
30,2,6,3,8.0067e-03,"Old BP"
30,2,48,3,6.5e-08,"Old BP"
30,3,4,3,5.39806e-03,"Old BP"
30,3,5,1,1.538e-04,"Old BP"
30,3,6,1,6.4533e-03,"Old BP"
30,3,6,3,8.17931e-03,"Old BP"
30,3,49,3,4.95359e-03,"Old BP"
30,4,6,1,0.02,"Old BP"
30,4,6,3,0.02,"Old BP"
30,5,6,1,0.06,"Old BP"
30,5,6,3,3.30427e-03,"Old BP"
31,2,4,3,1.58646e-03,"Old BP"
31,2,6,3,6.3097e-04,"Old BP"
31,3,4,3,1.95956e-03,"Old BP"
31,3,6,2,5.172e-05,"Old BP"
31,3,6,3,0.01,"Old BP"
31,5,4,3,5.53897e-03,"Old BP"
31,5,6,2,8.6816e-04,"Old BP"
31,5,6,3,0.06,"Old BP"
31,4,4,3,6.49143e-03,"Old BP"
31,4,6,2,5.5366e-04,"Old BP"
31,4,6,3,0.04,"Old BP"
32,2,4,3,0.03,"Old BP"
32,2,5,2,9.228e-05,"Old BP"
32,2,5,3,0.01,"Old BP"
32,2,6,3,0.03,"Old BP"
32,5,4,3,0.15,"Old BP"
32,5,6,3,0.11,"Old BP"
32,2,48,3,8.5e-08,"Old BP"
32,3,4,3,0.02,"Old BP"
32,3,5,3,0.01,"Old BP"
32,3,6,1,3.14722e-03,"Old BP"
32,3,6,2,2.6644e-04,"Old BP"
32,3,6,3,0.05,"Old BP"
32,4,4,3,0.04,"Old BP"
32,4,6,3,0.13,"Old BP"
33,3,48,3,2.237e-05,"Old BP"
33,3,4,3,8.48316e-03,"Old BP"
33,3,5,2,7.6302e-04,"Old BP"
33,3,5,3,7.45712e-03,"Old BP"
33,3,6,3,0.04,"Old BP"
34,2,4,3,2.01188e-03,"Old BP"
34,2,5,2,2.39715e-03,"Old BP"
34,2,5,3,0.21,"Old BP"
34,2,6,3,1.78318e-03,"Old BP"
34,4,4,3,0.01,"Old BP"
34,4,5,3,2.22352e-03,"Old BP"
34,4,6,3,1.78343e-03,"Old BP"
34,3,4,3,6.08952e-03,"Old BP"
34,3,5,2,5.774e-04,"Old BP"
34,3,5,3,0.02,"Old BP"
34,3,6,3,1.23859e-03,"Old BP"
34,5,4,3,0.01,"Old BP"
34,5,6,3,7.59751e-03,"Old BP"
36,4,4,3,8.14889e-03,"Old BP"
36,5,4,3,0.02,"Old BP"
36,5,6,3,0.01,"Old BP"
36,2,4,3,3.70347e-03,"Old BP"
36,2,5,3,0.08,"Old BP"
36,2,6,3,6.95e-04,"Old BP"
36,3,4,2,1.15765e-03,"Old BP"
36,3,4,3,6.8507e-03,"Old BP"
36,3,5,1,5.3e-04,"Old BP"
36,3,5,3,0.01,"Old BP"
36,3,6,1,7.3385e-04,"Old BP"
37,4,4,3,0.02,"Old BP"
37,4,6,3,1.0621e-03,"Old BP"
37,5,4,3,0.02,"Old BP"
37,5,5,3,0.01,"Old BP"
37,5,6,3,7.76112e-03,"Old BP"
37,2,4,3,1.41745e-03,"Old BP"
37,2,5,3,0.04,"Old BP"
37,3,4,3,3.6002e-03,"Old BP"
38,3,4,3,7.11776e-03,"Old BP"
38,3,6,3,0.01,"Old BP"
38,4,4,3,0.02,"Old BP"
38,5,4,3,3.34641e-03,"Old BP"
38,2,4,3,4.16284e-03,"Old BP"
38,2,6,3,6.7893e-04,"Old BP"
10,2,67,3,0.01,"SPS workup"
11,3,67,3,2.19658e-03,"SPS WORKUP"
11,3,70,3,9.6902e-04,"SPS WORKUP"
11,4,67,3,3.2296e-04,"SPS WORKUP"
11,4,70,3,3.3662e-03,"SPS WORKUP"
13,2,67,3,9.07208e-03,"SPS WORKUP"
13,2,70,3,0.01,"SPS WORKUP"
13,3,67,3,0.01,"SPS WORKUP"
13,3,70,3,0.07,"SPS WORKUP"
13,4,67,3,6.17514e-03,"SPS WORKUP"
13,4,70,3,0.07,"SPS WORKUP"
13,5,70,3,0.07,"SPS WORKUP"
14,2,70,3,0.01,"SPS WORKUP"
14,3,67,3,0.03,"SPS WORKUP"
14,3,70,3,0.02,"SPS WORKUP"
14,4,67,3,8.69004e-03,"SPS WORKUP"
14,4,70,3,0.04,"SPS WORKUP"
16,3,67,3,4.5211e-03,"SPS WORKUP"
16,3,70,3,7.23065e-03,"SPS WORKUP"
16,4,70,3,1.22922e-03,"SPS WORKUP"
17,3,67,3,5.33522e-03,"SPS WORKUP"
17,3,70,3,2.25675e-03,"SPS WORKUP"
30,3,67,3,1.83503e-03,"SPS WORKUP"
33,3,67,3,0.01,"SPS WORKUP"
6,3,67,3,5.1716e-04,"SPS WORKUP"
